id,group,input,target_lufs,ceiling_dbtp,receipt_lufs,ind_lufs,ff_I,receipt_tp,ind_tp,ff_Peak,receipt_lra,ind_lra,A1_tp_excess_db,A2_lufs_err,A3_lufs_diff,A3_tp_diff,A3_lra_diff,crest_db,psr_db,p95_p10_db,corr,side_mid_db,length_delta_frames,lag_samples,max_abs_diff_vs_ref,ind_sr,ind_subtype,ind_finite,clipped_run_fraction,repeat_identical,checks,src_lufs,src_tp,src_lra,sha256,error
C3_identity24_input01,C3,fixtures/inputs/input01.wav,,0.0,-10.831284523010254,-10.83128413970451,-10.8,-0.38272085785865784,-0.3857385875244757,-0.4,4.062748432159424,4.138798371364539,-0.3857385875244757,,3.833057444779797e-07,-0.00301772966581787,0.07604993920511482,12.715943886267594,7.742789572660006,7.67504823464321,0.7324507512782843,-8.108599624793566,0,0,0.14993667602539062,44100,PCM_24,True,0.0,,"['streaming_headroom_low', 'dynamic_range_low']",-12.331284523010254,-1.882720947265625,4.062748432159424,efd5a695db697e81db1cb8f9bd80fe3d285f0f644c2f115a9d13d56662b63c3e,
C3_identity_drums_60s,C3,audit-output/synthetic/drums_60s.wav,,0.0,-21.54668617248535,-21.546685750455442,-21.6,-0.9874458909034729,-0.9874532175447631,-0.7,0.10037172585725784,0.10303617898248518,-0.9874532175447631,,4.220299096857616e-07,-7.326641290217317e-06,0.0026644531252273396,21.87707858719471,20.47553868476219,13.331726575845234,0.9999999999999998,,0,0,0.14156115055084229,44100,FLOAT,True,0.0,,"['streaming_headroom_low', 'dynamic_range_low']",-23.04668617248535,-2.48744535446167,0.10037172585725784,3edfa60fc97495a8e5d0b630c9d1b53f80509d64745f1aec5747c2ef0f23dc26,
C3_identity_input01,C3,fixtures/inputs/input01.wav,,0.0,-10.831284523010254,-10.831284512008711,-10.8,-0.38272085785865784,-0.3857382953723956,-0.4,4.062748432159424,4.138798383430057,-0.3857382953723956,,1.100154278788068e-08,-0.0030174375137377862,0.07604995127063319,12.715943163413137,7.742790242008586,7.675048209253399,0.7324507513985669,-8.108599627074648,0,0,0.14993655681610107,44100,FLOAT,True,0.0,,"['streaming_headroom_low', 'dynamic_range_low']",-12.331284523010254,-1.882720947265625,4.062748432159424,89ab205bf2022c883bb3e09ad024e007953f35c0cbf13f515096b88b09d3a49c,
C3_identity_input06,C3,fixtures/inputs/input06.wav,,0.0,-20.18967628479004,-20.189675607359987,-20.2,-4.395403861999512,-4.39671571606341,-4.4,3.203256845474243,3.1959500505178404,-4.39671571606341,,6.774300516099174e-07,-0.0013118540638981102,-0.00730679495640274,18.013840527671057,13.82218630255874,8.321777773952473,0.8102378451598053,-9.780767213845676,0,0,0.0944749116897583,44100,FLOAT,True,0.0,,['dynamic_range_low'],-21.68967628479004,-5.8954033851623535,3.203256845474243,eba166975f6067c662ca2c5c807230b65158805a3632369e1f87740ae2a5ab80,
C3_identity_input07,C3,fixtures/inputs/input07.wav,,0.0,-25.868770599365234,-25.868771271077268,-25.9,-4.461729049682617,-4.466595533675484,-4.5,11.50044059753418,11.684420157619982,-4.466595533675484,,-6.717120335508753e-07,-0.004866483992866932,0.18397956008580252,25.3905797112304,11.170249279759384,44.74417370327237,0.3252979921065777,-2.9305916362664926,0,0,0.0944749116897583,44100,FLOAT,True,0.0,,['export_ok'],-27.368770599365234,-5.961729049682617,11.50044059753418,90aeda473f0b77ac38a9ceac22951a8b3925de34019047aa4e5f18a70d59e0db,
C3_identity_input08,C3,fixtures/inputs/input08.wav,,0.0,-25.40923500061035,-25.409234222476734,-25.4,-4.488332748413086,-4.500007741076337,-4.5,7.024445533752441,7.022996114611196,-4.500007741076337,,7.781336179846221e-07,-0.011674992663251338,-0.0014494191412453006,24.114757191191718,16.80607096058189,23.062444056917947,0.7288720630950393,-7.293727471578542,0,0,0.0944749116897583,48000,FLOAT,True,0.0,,['export_ok'],-26.907949447631836,-5.988333702087402,7.024445533752441,ea7b0f8443f26da630920e914c901fef2f655f56fdc76b419082c8d1b7c96184,
C3_identity_pink_-20_60s,C3,audit-output/synthetic/pink_-20_60s.wav,,0.0,-18.000703811645508,-18.000703184194915,-18.0,-4.136710166931152,-4.1367174686733605,-4.1,0.09504277259111404,0.09337800072618307,-4.1367174686733605,,6.274505928161034e-07,-7.3017422081989025e-06,-0.0016647718649309695,14.408799533759524,13.78644255892598,6.142711768716417,0.8957237861956512,-12.68692755843393,0,0,0.09851014614105225,44100,FLOAT,True,0.0,,['dynamic_range_low'],-19.500703811645508,-5.636710166931152,0.09504277259111404,f22d53ee8147cb80673d4fe16e7601f0e1803887e8cabc099c0feda6f83e50eb,
C3_identity_sine1k_-20dBFS,C3,audit-output/synthetic/sine1k_-20dBFS.wav,,0.0,-18.491273880004883,-18.491272986192918,-18.5,-18.495012283325195,-18.500061558036368,-18.5,7.993605777301127e-13,8.245848448495963e-12,-18.500061558036368,,8.938119648860265e-07,-0.005049274711172558,7.44648787076585e-12,3.0131404516787548,-0.00952305301787959,8.277822871605167e-13,0.9999999999999999,,0,0,0.01885010302066803,44100,FLOAT,True,0.0,,['dynamic_range_low'],-19.99127197265625,-19.995012283325195,1.1475265182525618e-12,e85c85793004835163f0e2351473af6cc579ffffed2846a8d96abc51267998a3,
C4_gainonly_ceilingbound_input07,C4,fixtures/inputs/input07.wav,-9.0,-1.0,-22.40704345703125,-22.407042596866923,-22.4,-1.000000238418579,-1.0048667208632103,-1.0,11.50044059753418,11.68442015779629,-0.004866720863210272,-13.407042596866923,8.601643273209447e-07,-0.0048664824446311705,0.1839795602621095,25.390579768882816,11.170249417984081,44.744173698297345,0.32529799209969884,-2.9305916361961244,0,0,0.38614535331726074,44100,FLOAT,True,0.0,,['target_not_reached'],-27.368770599365234,-5.961729049682617,11.50044059753418,a0f0ae3543d7bfc7b32e1fe7e14430a646b62f94ce73706574596a8d17480c5b,
C4_gainonly_input01,C4,fixtures/inputs/input01.wav,-14.0,-1.0,-14.0,-14.000000287663445,-14.0,-4.269982814788818,-4.267117917982887,-4.3,4.062748432159424,4.134159590291988,-3.267117917982887,-2.876634450643678e-07,-2.876634450643678e-07,0.002864896805931494,0.07141115813256427,12.102911037995689,7.036640202877718,7.67084926707083,0.7325017846137394,-8.109558814398714,0,0,0.18837237358093262,44100,FLOAT,True,0.0,,['dynamic_range_low'],-12.331284523010254,-1.882720947265625,4.062748432159424,4ac972606f0e380e93bd4000522464cd76d284d7e70a924426724119fba6fa76,
C4_gainonly_input02,C4,fixtures/inputs/input02.wav,-14.0,-1.0,-15.494205474853516,-15.494205660481272,-15.5,-1.000000238418579,-1.0002161865853239,-1.0,11.991764068603516,12.044422589386665,-0.00021618658532385204,-1.4942056604812723,-1.8562775672137377e-07,-0.00021594816674475048,0.05265852078314914,16.977009622867243,8.63874970586699,17.12517535791392,0.27804497582380167,-2.4426283918128333,0,0,0.14953750371932983,44100,FLOAT,True,0.0,,['target_not_reached'],-17.055967330932617,-0.9826304316520691,12.061389923095703,7358caf83968f1c75625b8b18067a97bf9933e36a455fdb6b394d92689bae315,
C4_gainonly_input06,C4,fixtures/inputs/input06.wav,-14.0,-1.0,-16.79427146911621,-16.794271522447456,-16.8,-1.0000014305114746,-1.001311856630257,-1.0,3.203256845474243,3.1959500493371245,-0.0013118566302570134,-2.794271522447456,-5.3331245197796306e-08,-0.001310426118782404,-0.00730679613711871,18.013840301606542,13.82218607543151,8.321777771850797,0.8102378451650039,-9.780767213974071,0,0,0.3793955445289612,44100,FLOAT,True,0.0,,"['target_not_reached', 'dynamic_range_low']",-21.68967628479004,-5.8954033851623535,3.203256845474243,75cdfd435ce31c8562d8b29b7047a529b25eed64c0b3828d397053db6ac40144,
