id,group,input,target_lufs,ceiling_dbtp,receipt_lufs,ind_lufs,ff_I,receipt_tp,ind_tp,ff_Peak,receipt_lra,ind_lra,A1_tp_excess_db,A2_lufs_err,A3_lufs_diff,A3_tp_diff,A3_lra_diff,crest_db,psr_db,p95_p10_db,corr,side_mid_db,length_delta_frames,lag_samples,max_abs_diff_vs_ref,ind_sr,ind_subtype,ind_finite,clipped_run_fraction,repeat_identical,checks,src_lufs,src_tp,src_lra,sha256,error
M_input01_clarity,main,fixtures/inputs/input01.wav,-14.0,-1.0,-13.999999046325684,-13.999999253343445,-14.0,-6.795722961425781,-6.796063530518825,-6.8,3.6054303646087646,3.562443851412924,-5.796063530518825,7.466565552505244e-07,-2.0701776115572557e-07,-0.0003405690930433636,-0.04298651319584046,9.833748742222589,5.289736688866619,6.655596174828091,0.692644896465113,-7.40645329150264,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,05054bb0c80eff50a429e0b8b433932f00742f6bfcb0d62ae0a7b722870b60a6,
M_input01_custom,main,fixtures/inputs/input01.wav,-14.0,-1.0,-14.0,-14.000000156697293,-14.0,-4.2494659423828125,-4.2510927201021165,-4.3,4.063040733337402,4.134200874023758,-3.2510927201021165,-1.5669729336309501e-07,-1.5669729336309501e-07,-0.0016267777193039734,0.07116014068635579,12.102874178633702,7.0525780764825186,7.670712439837978,0.7325017841846171,-8.109558805289861,0,,,48000,PCM_24,True,0.0,,['dynamic_range_low'],-12.331284523010254,-1.882720947265625,4.062748432159424,93568b5e36290cdc88e1b936d282e23c27ce8976189638b2c9450e128b59f8f1,
M_input01_loud,main,fixtures/inputs/input01.wav,-14.0,-1.0,-14.0,-13.999999653597326,-14.0,-8.950260162353516,-8.949402080957901,-9.0,1.7306225299835205,1.7721923900851522,-7.949402080957901,3.464026736565984e-07,3.464026736565984e-07,0.0008580813956147182,0.04156986010163166,8.053849143491147,3.9970324960076162,4.165211406344415,0.7108306808250754,-7.7184454385177155,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,56b2949c85ebead561ec833312f82e76050d47891c60d8dc7704c6119720b926,
M_input01_oomph,main,fixtures/inputs/input01.wav,-14.0,-1.0,-13.999999046325684,-13.999999283213517,-14.0,-7.270683765411377,-7.285581651721012,-7.3,3.11240553855896,3.131016343844781,-6.285581651721012,7.167864826129744e-07,-2.368878337932756e-07,-0.014897886309634956,0.01861080528582093,8.389720573903453,5.142329059700264,8.409197154118083,0.8353776812610828,-10.469334966779098,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,f76a8cfea63dd5416eec87006380be1cec00064d716f8d85b1c013cd10d2e834,
M_input01_punch,main,fixtures/inputs/input01.wav,-14.0,-1.0,-14.0,-13.99999972975338,-14.0,-8.532536506652832,-8.530310636424455,-8.5,2.2735893726348877,2.307122772226524,-7.5303106364244545,2.702466197490594e-07,2.702466197490594e-07,0.0022258702283775023,0.03353339959163648,8.280219173116048,4.232771622160218,4.813774953403458,0.7011818131792724,-7.550834973081195,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,46c10c254427f69134fc1d7af4d1fb06c342f88ab87fddbba3c0a1ee89ac133f,
M_input01_spatial,main,fixtures/inputs/input01.wav,-14.0,-1.0,-13.999999046325684,-13.999999329274441,-14.0,-7.590986251831055,-7.601441780307068,-7.6,2.9316306114196777,2.908488569144936,-6.601441780307068,6.707255586491101e-07,-2.829487577571399e-07,-0.010455528476013498,-0.023142042274741925,9.018376178222802,4.6735816958279965,6.276040354470004,0.5254942675665234,-5.0695983943793275,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,bd2efa8ccfb5893ad2c0b0c9b32057830696f7096ea5e155b47edcba8adc1e60,
M_input01_tape,main,fixtures/inputs/input01.wav,-14.0,-1.0,-14.0,-13.999999967787382,-14.0,-7.761811256408691,-7.770474138900896,-7.8,2.8610849380493164,2.8457036076248663,-6.770474138900896,3.221261835051337e-08,3.221261835051337e-08,-0.008662882492204815,-0.015381330424450113,8.615955948284666,4.659258493133027,6.165269012441092,0.7650353985502353,-8.754580819535375,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,0e3878883144cc91ef2e35d5a95b9f30cb8aebdc16e8e3226bff4db7f95dff6e,
M_input01_universal,main,fixtures/inputs/input01.wav,-14.0,-1.0,-13.999999046325684,-13.99999941769302,-14.0,-7.246589183807373,-7.262410024962183,-7.3,3.290926694869995,3.2909051071290953,-6.262410024962183,5.823069795241054e-07,-3.7136733688214463e-07,-0.01582084115480953,-2.1587740899775554e-05,9.249180119038293,4.951001874357313,6.449762020566551,0.6833300997158858,-7.252828613881716,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,e90c634eeb54c18f6c8071be840c3a95ed417590fa0c660c7c67cdf281958fbd,
M_input01_warmth,main,fixtures/inputs/input01.wav,-14.0,-1.0,-14.0,-13.999999945148351,-14.0,-7.774355888366699,-7.782436467500473,-7.8,2.536205291748047,2.525673918731661,-6.782436467500473,5.4851648556564214e-08,5.4851648556564214e-08,-0.008080579133773469,-0.01053137301638607,8.342881885810343,4.842326355424934,6.280017142734604,0.7460577972216581,-8.37017019822365,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-12.331284523010254,-1.882720947265625,4.062748432159424,b32b41c20fbb6f0852e050b68f164770f19403bd82d479c92ca8b9ec2ca014d2,
M_input02_clarity,main,fixtures/inputs/input02.wav,-14.0,-1.0,-14.0,-13.999999657892342,-14.0,-2.480931043624878,-2.4879729597158833,-2.5,11.0839262008667,11.090426273885024,-1.4879729597158833,3.4210765775810614e-07,3.4210765775810614e-07,-0.007041916091005351,0.00650007301832467,13.941072023075355,6.606583703513573,16.193831391456712,0.2501865062425053,-2.1906905827248915,0,,,48000,PCM_24,True,0.0,,['export_ok'],-17.055967330932617,-0.9826304316520691,12.061389923095703,36ae1082e7f4edb721e207b43b83fa5b6903d7e54b5324704c3600a68d340755,
