id,group,input,target_lufs,ceiling_dbtp,receipt_lufs,ind_lufs,ff_I,receipt_tp,ind_tp,ff_Peak,receipt_lra,ind_lra,A1_tp_excess_db,A2_lufs_err,A3_lufs_diff,A3_tp_diff,A3_lra_diff,crest_db,psr_db,p95_p10_db,corr,side_mid_db,length_delta_frames,lag_samples,max_abs_diff_vs_ref,ind_sr,ind_subtype,ind_finite,clipped_run_fraction,repeat_identical,checks,src_lufs,src_tp,src_lra,sha256,error
H_drums_-6dB_96k,heldout,audit-output/variants/heldout_drums_-6dB_96k.wav,-14.0,-1.0,-20.18490219116211,-20.184902949172656,-20.2,-0.9999991059303284,-0.9504032980311984,-0.8,0.10336984694004059,0.1094486445004037,0.049596701968801615,-6.184902949172656,-7.580105467752674e-07,0.049595807899129984,0.006078797560363114,20.71877549106624,19.152104354632716,14.512287515563838,0.9999999999993853,-125.0889110558981,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-29.160320281982422,-8.167908668518066,0.0992347002029419,29a939ff302c3c0381a1c00b52e9636a3c7c4cfb1a3245cc8c95ee11301ca59c,
S_adapt_input02_0.0,adapt,fixtures/inputs/input02.wav,-14.0,-1.0,-14.0,-13.99999986799334,-14.0,-3.539808988571167,-3.546422305242727,-3.5,10.42963981628418,10.467256033669996,-2.546422305242727,1.3200665982537885e-07,1.3200665982537885e-07,-0.0066133166715598435,0.03761621738581589,12.86801935933157,5.896580747035394,15.629804581466708,0.19544740936218033,-1.6952891716534066,0,,,48000,PCM_24,True,0.0,,['export_ok'],-17.055967330932617,-0.9826304316520691,12.061389923095703,85161d3b1d29a5822d0e30572a6e13ae16dd115a8e9e947cac322dc8faab3853,
S_adapt_input02_1.0,adapt,fixtures/inputs/input02.wav,-14.0,-1.0,-13.999999046325684,-13.999999281966215,-14.0,-3.2653844356536865,-3.2719012255451734,-3.3,10.431797981262207,10.503741405966787,-2.2719012255451734,7.180337853185392e-07,-2.3564053108771077e-07,-0.006516789891486852,0.07194342470458004,13.141373751365407,6.113651910066125,15.680432748959708,0.26118716129709335,-2.2894364348412335,0,,,48000,PCM_24,True,0.0,,['export_ok'],-17.055967330932617,-0.9826304316520691,12.061389923095703,8f8f7d2d54e233c45bbcbbbca262726761f8f35cbb6d7998663c0041c4bb5557,
S_adapt_input04_0.0,adapt,fixtures/inputs/input04.wav,-14.0,-1.0,-13.999999046325684,-13.999999271386333,-14.0,-2.8135693073272705,-2.813576734212747,-2.8,7.393715858459473,7.45652918212688,-1.813576734212747,7.286136671780241e-07,-2.2506064922822588e-07,-7.426885476391476e-06,0.06281332366740777,13.024296979611684,9.05353399304622,25.71967304489931,0.9017063010199382,-12.865468007623175,0,,,48000,PCM_24,True,0.0,,['export_ok'],-16.070234298706055,0.0818948820233345,8.340409278869629,928c76a7a51ddcebcb9e8709a52bc3c507ebe119367105e1db9c6771b92c2146,
S_adapt_input04_1.0,adapt,fixtures/inputs/input04.wav,-14.0,-1.0,-14.0,-13.999999691717228,-14.0,-2.7247414588928223,-2.7247489010637675,-2.7,7.397010803222656,7.46842316973442,-1.7247489010637675,3.082827717548753e-07,3.082827717548753e-07,-7.4421709452821005e-06,0.07141236651176364,13.1338556270613,9.128303286005028,25.63638913405651,0.8991410788080478,-12.74769025683678,0,,,48000,PCM_24,True,0.0,,['export_ok'],-16.070234298706055,0.0818948820233345,8.340409278869629,6b5eac69025a938ede56ed2a60316f14f60ee56ae6cf2a005dc9a196c0315b80,
S_adapt_input06_0.0,adapt,fixtures/inputs/input06.wav,-14.0,-1.0,-15.28134822845459,-15.281348137782881,-15.3,-1.0000008344650269,-1.003911656189385,-1.0,3.106854200363159,3.0898989108172046,-0.003911656189385049,-1.2813481377828815,9.067170836374316e-08,-0.003910821724358193,-0.0169552895459546,16.634901785208964,12.350298833874728,8.126380922488028,0.7702565169216277,-8.855036408895886,0,,,48000,PCM_24,True,0.0,,"['target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,d84925f1ab926d74d56f0611539e5f62101b6dd230800ded95b71f0d6f4c363a,
S_adapt_input06_1.0,adapt,fixtures/inputs/input06.wav,-14.0,-1.0,-16.43217658996582,-16.4321771758493,-16.4,-0.9999985694885254,-1.0039681600765602,-1.0,3.1300320625305176,3.1050393098380606,-0.003968160076560201,-2.4321771758493007,-5.858834803973423e-07,-0.00396959058803481,-0.024992752692456932,17.806466446167615,13.495328796807767,8.144863109672105,0.7694560702039466,-8.837467497840365,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,f428a617ca94189ab9af4ac4a96b7cb58f4a980d62185f2d323b14b32432ad8a,
S_chan_input04_dualmono,channels,audit-output/variants/input04_dualmono.wav,-14.0,-1.0,-14.0,-13.999999987286186,-14.0,-3.1146435737609863,-3.103732215736055,-2.7,7.5600128173828125,7.568445429609698,-2.103732215736055,1.2713814001585888e-08,1.2713814001585888e-08,0.01091135802493115,0.008432612226885183,12.708572669813957,8.643854819004291,23.94407855391657,0.9999999999998739,-131.6812318254451,0,,,48000,PCM_24,True,0.0,,['export_ok'],-16.03729248046875,0.0818948820233345,8.34946346282959,ca7c5980fc1bb63c5ae16c0784de900ffed4a1cd249fc38928a72ea28a7e65e8,
S_chan_input04_mono,channels,audit-output/variants/input04_mono.wav,-14.0,-1.0,-14.895655632019043,-14.895655163711192,-14.9,-0.9999997019767761,-0.9890879501521757,-0.6,7.5600128173828125,7.568445431783534,0.010912049847824346,-0.8956551637111918,4.683078511646954e-07,0.010911751824600469,0.008432614400721405,12.708571858531604,11.654154246095414,23.954201166096908,,,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached']",-19.047592163085938,0.0818948820233345,8.34946346282959,bb8ee4e347d87bf0eea35176376a0c76df0d6dba40c5ae2f28227ded83170d87,
S_chan_input04_swapped,channels,audit-output/variants/input04_swapped.wav,-14.0,-1.0,-14.0,-13.99999969181833,-14.0,-2.7247414588928223,-2.7247489010637675,-2.7,7.3970112800598145,7.468423188912972,-1.7247489010637675,3.081816704053608e-07,3.081816704053608e-07,-7.4421709452821005e-06,0.07141190885315751,13.133855626729236,9.128303292611225,25.636389151156802,0.8991410789546748,-12.747690263514901,0,,,48000,PCM_24,True,0.0,,['export_ok'],-16.070234298706055,0.0818948820233345,8.340409278869629,b63b27e40061c88c69456bc26b371a2497bf6fd91b192b5e5cecab78bf641bd2,
