source,split,name,trim_db,target,lufs,tp,target_error,ceiling_pass,crest,crest400,lra,shortterm_spread,section_contrast,section_delta_from_control,attack_body,tone_max_delta,side_mid,side_mid_delta,correlation,limiter_max_gr,limiter_mean_gr,limiter_active_pct,sat_rms_gain,sat_peak_reduction,pre_landing_lufs,sha256,comp_low_max_gr,comp_low_mean_gr,comp_mid_max_gr,comp_mid_mean_gr,comp_high_max_gr,comp_high_mean_gr
coat,development,adapt0_t14,0,-14,-14.0,-8.0,0.0,True,8.553667597883269,8.15628398122168,2.6,2.5999999999999996,4.283933068918783,-0.6439860972268594,7.582608607607728,0.26187760881960287,-7.3098918953790495,-0.05659511931933636,0.686800682831102,2.5967440605163574,0.6080424915878959,77.0590085864674,2.1070187501318864,3.464010398560637,-6.94932861239152,013182b307f9e7b0abd6ddca9991650cae635575748c1d7186d04ed072ef34e3,3.0509085655212402,0.3386564556760083,1.6311249732971191,0.35510698086989506,0.35206732153892517,0.0019462296110674552
coat,development,adapt0_t9,0,-9,-9.0,-3.0,0.0,True,8.553667789538878,8.156285066703958,2.6,2.6000000000000005,4.283933064086369,-0.6439861019496718,7.582608139815106,0.2618776079841929,-7.3098918936833135,-0.056595117436148534,0.6868006827286731,2.5967440605163574,0.6080424915878959,77.0590085864674,2.1070187501318864,3.464010398560637,-6.94932861239152,04da3c3ed50db2bbf13c149d673ade1e993979e946d5fcb12ed08f4c63880a35,3.0509085655212402,0.3386564556760083,1.6311249732971191,0.35510698086989506,0.35206732153892517,0.0019462296110674552
coat,development,adapt100_t14,0,-14,-14.0,-7.3,0.0,True,9.283322403817655,8.970455434346107,3.4,3.299999999999999,5.197858176214911,0.2699390100692689,8.200984336801348,0.08634691519310778,-7.250637867335163,0.002658908724550102,0.683191007600823,2.339501142501831,0.30890028957700105,57.12340593294884,2.2832691914785737,2.4089866082983113,-7.732691234099746,23a05848f5ec0b596a2fa2bd61e1a6decabb3109c9eca881763bf9707edf3174,0.3073728680610657,0.001054038325778276,0.006613599602133036,3.825327424805492e-06,0.0,0.0
coat,development,adapt100_t9,0,-9,-9.0,-2.3,0.0,True,9.283323783394083,8.970456144401172,3.4,3.299999999999999,5.197858173681128,0.26993900764508716,8.200984489100945,0.08634691426883023,-7.250637865369551,0.0026589108776136072,0.6831910074811353,2.339501142501831,0.30890028957700105,57.12340593294884,2.2832691914785737,2.4089866082983113,-7.732691234099746,409a85e624ec6697a61a3ba9c58f5d779e6da0afac181451eb395ca1710a1567,0.3073728680610657,0.001054038325778276,0.006613599602133036,3.825327424805492e-06,0.0,0.0
coat,development,adapt_drive_t14,-12.0,-14,-14.0,-1.2,0.0,True,15.235228634270381,11.828612851815883,4.1,4.199999999999999,6.400511032434441,1.4725918662887985,10.260493227913722,0.4500228493464853,-7.216470002820778,0.036826773238934685,0.6811240204875598,0.0,0.0,0.0,2.886692386911751,-2.40418590661242,-18.723231798251312,edadd5d23a204e4c4859a41e2d4a3ae5a30eb569daa1d6d10511e3db9b449e1d,0.0,0.0,0.0,0.0,0.0,0.0
coat,development,adapt_drive_t9,-1.5,-9,-9.0,-1.3,0.0,True,10.305105824012486,9.865980357023233,3.8,3.759999999999999,5.765246183938707,0.8373270179026662,8.957748996959122,0.26489803217125996,-7.246759383123078,0.006537393124086854,0.6829620917379111,1.9440898895263672,0.09146434397481812,23.31383474821624,2.4560828828185786,1.3045605656009736,-8.7824579291702,bc5a236075fdd150af3d6fefc6bee82ef514934d0959d2864240d04bef04fc64,0.14849993586540222,0.0003499138826912991,0.0,0.0,0.0,0.0
coat,development,comp_off_t14,0,-14,-14.0,-7.1,0.0,True,9.416515298849124,9.103370567521766,3.6,3.5999999999999996,5.545606269297066,0.6176871031514235,8.421236845145073,0.19160068229542304,-7.252302970205281,0.000993805854432317,0.683295201327442,1.8086323738098145,0.16920939099371035,41.18717204561388,2.332152121562777,0.9777022734850703,-7.873549115450952,2c62683b816784ec86476535d7e5851b12f31d5b77fc9fc5fff9e89c9fae28d2,0.0,0.0,0.0,0.0,0.0,0.0
coat,development,comp_off_t9,0,-9,-9.0,-2.1,0.0,True,9.416515681825466,9.10337168360125,3.6,3.6000000000000005,5.545606272400054,0.6176871063640128,8.421235832003328,0.19160067671776915,-7.252302969947787,0.0009938062993777308,0.6832952013136855,1.8086323738098145,0.16920939099371035,41.18717204561388,2.332152121562777,0.9777022734850703,-7.873549115450952,d33c8cae3238161a8d7f812884c2137d980189485b3618def8af93a8baab6ea5,0.0,0.0,0.0,0.0,0.0,0.0
coat,development,continuous_drive_t14,-4.5,-14,-14.0,-1.6,0.0,True,14.941577218224737,11.985937620266252,4.1,4.199999999999999,6.4343197533415015,1.5064005871958592,10.372300472963577,0.4575330391738355,-7.216023591698973,0.0372731843607399,0.6811000465429317,0.8245987892150879,0.0010091984635358514,0.1295012149489297,-0.0047490762591769495,0.05566482984487863,-13.510067638591705,9cd92006ca1626cb2f976e700a2737808c9d48f0c4d6d82dcb6de5840ccacd79,0.2932662069797516,0.0007821463177081654,0.0,0.0,0.0,0.0
coat,development,continuous_drive_t9,1.5,-9,-9.0,-1.2,0.0,True,10.404211033173091,10.042389767156108,2.6,2.7,4.4291034629493105,-0.4988157030867306,9.548014843657855,0.13357795439941,-7.206380918378472,0.04691585786869279,0.6804997551485559,6.602513790130615,0.9683464009225384,77.11942456102221,-0.018171242967052623,0.21565528387643865,-8.830965541022646,e1ebbfb993431ea2f49e3aa382f144aee0c47b172ae23adf2592cc3976ed898a,1.6071934700012207,0.05589032571194819,0.6290815472602844,0.05366556183434276,0.025905519723892212,1.2788113192104444e-05
